timestamp,elapsed_s,gpu2_power_w,gpu2_mem_used_gb,gpu2_util_pct,gpu2_mem_bw_util_pct,gpu2_temp_c,gpu2_pcie_tx_mb_s,gpu2_pcie_rx_mb_s,gpu3_power_w,gpu3_mem_used_gb,gpu3_util_pct,gpu3_mem_bw_util_pct,gpu3_temp_c,gpu3_pcie_tx_mb_s,gpu3_pcie_rx_mb_s,kv_cache_pct,requests_running,requests_waiting
1777038594.829,0.000,162.8,88.23,0,0,82,2.2,0.5,165.2,88.23,0,0,81,0.5,0.4,0.0,0,0
1777038595.169,0.340,126.4,88.23,0,0,82,0.5,0.6,133.1,88.23,0,0,81,0.5,2.1,0.0,0,0
1777038595.519,0.690,126.4,88.23,0,0,82,1.5,0.4,133.1,88.23,0,0,81,0.5,0.4,0.0,0,0
1777038595.858,1.029,126.4,88.23,0,0,82,0.5,0.5,133.1,88.23,0,0,81,0.5,0.6,0.0,0,0
1777038596.205,1.376,96.6,88.23,0,0,81,0.5,2.2,112.2,88.23,0,0,80,2.2,0.4,0.0,0,0
1777038596.550,1.721,96.6,88.23,0,0,81,0.5,0.5,112.2,88.23,0,0,80,0.5,0.4,0.0,0,0
1777038596.890,2.061,96.6,88.23,0,0,81,0.5,0.5,112.2,88.23,0,0,80,1.5,2.1,0.0,0,0
1777038597.244,2.414,94.2,88.23,0,0,80,0.5,2.0,107.5,88.23,0,0,79,0.5,0.4,0.0,0,0
1777038597.590,2.761,94.2,88.23,0,0,80,0.5,0.4,107.5,88.23,0,0,79,1.5,0.4,0.0,0,0
1777038597.929,3.100,94.2,88.23,0,0,80,2.0,0.5,107.5,88.23,0,0,79,2.2,2.3,0.0,0,0
1777038598.279,3.450,90.9,88.23,0,0,79,0.4,3.4,106.8,88.23,0,0,79,2.1,0.5,0.0,0,0
1777038598.639,3.810,90.9,88.23,0,0,79,0.5,0.5,106.8,88.23,0,0,79,0.5,0.4,0.0,0,0
1777038598.979,4.150,90.9,88.23,0,0,79,0.5,2.4,105.4,88.23,0,0,78,1.5,3.1,0.0,0,0
1777038599.344,4.515,90.9,88.23,0,0,79,0.5,0.4,105.4,88.23,0,0,78,0.5,0.4,0.0,0,0
1777038599.684,4.855,90.9,88.23,0,0,79,0.6,0.5,105.4,88.23,0,0,78,1.5,0.4,0.0,0,0
1777038600.023,5.194,90.6,88.23,0,0,78,2.1,2.2,104.5,88.23,0,0,78,3.7,0.4,0.0,0,0
1777038600.391,5.562,90.6,88.23,0,0,78,0.5,0.4,104.5,88.23,0,0,78,1.7,0.5,0.0,0,0
1777038600.730,5.901,90.6,88.23,0,0,78,1.5,0.5,104.5,88.23,0,0,78,0.5,0.5,0.0,0,0
1777038601.069,6.240,90.2,88.23,0,0,78,3.7,0.4,103.7,88.23,0,0,77,1.5,0.4,0.0,0,0
1777038601.421,6.592,90.2,88.23,0,0,78,1.5,0.5,103.7,88.23,0,0,77,0.5,0.4,0.0,0,0
1777038601.763,6.934,90.2,88.23,0,0,78,0.5,0.5,103.7,88.23,0,0,77,0.5,0.5,0.0,0,0
1777038602.103,7.274,90.0,88.23,0,0,77,0.5,0.5,103.6,88.23,0,0,77,0.5,0.4,0.0,0,0
1777038602.445,7.616,90.0,88.23,0,0,77,1.0,0.4,103.6,88.23,0,0,77,0.5,0.5,0.0,0,0
1777038602.785,7.956,90.0,88.23,0,0,77,0.5,0.5,103.6,88.23,0,0,77,1.5,0.4,0.0,0,0
1777038603.125,8.295,89.9,88.23,0,0,77,1.5,0.5,103.1,88.23,0,0,76,0.5,0.5,0.0,0,0
1777038603.466,8.637,89.9,88.23,0,0,77,0.5,0.5,103.1,88.23,0,0,76,1.0,0.5,0.0,0,0
1777038603.805,8.976,89.9,88.23,0,0,77,0.5,0.5,103.1,88.23,0,0,76,0.5,0.4,0.0,0,0
1777038604.145,9.315,89.8,88.23,0,0,76,0.5,0.5,102.7,88.23,0,0,76,0.5,0.5,0.0,0,0
1777038604.488,9.659,89.8,88.23,0,0,76,0.5,0.5,102.7,88.23,0,0,76,1.5,0.4,0.0,0,0
1777038604.827,9.998,89.8,88.23,0,0,76,1.5,0.4,102.7,88.23,0,0,76,0.5,0.4,0.0,0,0
1777038605.167,10.338,89.6,88.23,0,0,76,0.5,0.6,102.3,88.23,0,0,75,0.5,1.9,0.0,0,0
1777038605.513,10.684,89.6,88.23,0,0,76,1.5,0.4,102.3,88.23,0,0,75,0.5,0.4,0.0,0,0
1777038605.853,11.024,89.6,88.23,0,0,76,0.4,0.3,102.3,88.23,0,0,75,0.4,0.4,0.0,0,0
1777038606.193,11.364,89.6,88.23,0,0,75,0.5,0.6,102.2,88.23,0,0,75,3.1,2.0,0.0,0,0
1777038606.542,11.713,89.6,88.23,0,0,75,0.5,0.5,102.2,88.23,0,0,75,0.5,0.4,0.0,0,0
